title;date_x;rating;movieId;mean_ratings;date_y
2001: A Space Odyssey;02/04/1968;9.3;m/2001_a_space_odyssey;9.559322033898304;03/04/1968
A Letter to Three Wives;01/01/1949;8.3;m/letter_to_three_wives;8.133333333333333;20/01/1949
A Raisin in the Sun;01/01/1961;8.5;m/1017123-raisin_in_the_sun;8.307692307692308;01/05/1961
A Star Is Born;29/09/1954;8.1;m/a_star_is_born_2018;7.934328358208956;05/10/2018
Airplane!;27/06/1980;8.4;m/airplane;8.509803921568627;02/07/1980
All Quiet on the Western Front;21/04/1930;9.2;m/1000643-all_quiet_on_the_western_front;8.0;
All the President's Men;01/01/1976;9.1;m/all_the_presidents_men;9.066666666666666;04/04/1976
American Splendor;20/01/2003;8.3;m/american_splendor;8.312056737588652;15/08/2003
Angels with Dirty Faces;01/01/1938;8.1;m/angels_with_dirty_faces;8.1;01/01/1938
Anomalisa;04/09/2015;8.4;m/anomalisa;8.268156424581006;30/12/2015
Another Year;01/01/2010;8.2;m/another_year_2010;8.048;29/12/2010
Apollo 11;27/06/2019;8.9;m/apollo_11_2019;8.740157480314961;01/03/2019
Auntie Mame;01/01/1958;8.0;m/auntie_mame;8.153846153846153;27/12/1958
Aziz Ansari: Buried Alive;01/01/2013;8.5;m/aziz_ansari_buried_alive;8.0;01/11/2013
Baby Doll;18/12/1956;8.1;m/baby_doll;8.0;18/12/1956
Badlands;01/01/1973;8.9;m/badlands;9.05;01/01/1974
Bambi;21/08/1942;8.3;m/bambi;8.421052631578947;21/08/1942
Bathtubs Over Broadway;01/01/2018;8.2;m/bathtubs_over_broadway;8.125;30/11/2018
Belle de Jour;01/01/1967;8.6;m/belle_de_jour;8.756756756756756;10/04/1968
Ben-Hur;18/11/1959;8.3;m/benhur;8.263157894736842;18/11/1959
Birdman;27/08/2014;8.5;m/birdman_2014;8.375;17/10/2014
BlacKkKlansman;14/05/2018;8.3;m/blackkklansman;8.118959107806692;10/08/2018
Blazing Saddles;01/01/1974;8.1;m/blazing_saddles;8.564102564102564;07/02/1974
Blindspotting;20/07/2018;8.1;m/blindspotting;8.0;20/07/2018
Blue Jasmine;26/07/2013;8.1;m/blue_jasmine;8.05813953488372;26/07/2013
Blue Velvet;01/01/1986;8.7;m/blue_velvet;8.92;19/09/1986
Booksmart;01/03/2019;8.3;m/booksmart;8.118143459915611;24/05/2019
Bright Lights: Starring Carrie Fisher and Debbie Reynolds;01/01/2016;8.9;m/bright_lights_starring_carrie_fisher_and_debbie_reynolds;8.777777777777779;07/01/2017
Brokeback Mountain;02/09/2005;8.2;m/brokeback_mountain;8.46875;09/12/2005
Butch Cassidy and the Sundance Kid;23/09/1969;8.3;m/1003318-butch_cassidy_and_the_sundance_kid;8.390243902439025;24/10/1969
Call Me by Your Name;01/01/2017;8.7;m/call_me_by_your_name;8.546296296296296;19/01/2018
Camille Claudel;07/12/1988;8.4;m/camille_claudel;8.4;07/12/1988
Captain Blood;01/01/1935;8.3;m/1003499-captain_blood;8.11111111111111;28/12/1935
Captain Phillips;27/09/2013;8.3;m/captain_phillips;8.121495327102803;11/10/2013
Carrie;03/11/1976;8.3;m/1003625-carrie;8.272727272727273;16/11/1976
Carrie;03/11/1976;8.3;m/1123000-carrie;5.333333333333333;04/11/2002
Carrie;03/11/1976;8.3;m/carrie;5.932885906040268;18/10/2013
Carrie;03/11/1976;8.3;m/carrie_1952;7.5;01/01/1952
Chicago;10/12/2002;8.0;m/chicago;8.032432432432433;27/12/2002
Chicken Run;21/06/2000;8.1;m/chicken_run;8.282828282828282;21/06/2000
Chinatown;01/01/1974;9.4;m/chinatown;9.535714285714286;01/01/1974
Cinderella;15/02/1950;8.0;m/cinderella;8.076923076923077;15/02/1950
Cinderella;15/02/1950;8.0;m/cinderella_2013;7.285714285714286;13/03/2015
Citizenfour;10/10/2014;8.3;m/citizenfour;8.095238095238095;21/10/2014
Crumb;10/09/1994;8.4;m/crumb;8.38888888888889;19/05/1995
Days of Heaven;13/09/1978;8.3;m/days_of_heaven;8.666666666666666;13/09/1978
Dead Man Walking;29/12/1995;8.2;m/1068779-dead_man_walking;8.789473684210526;29/12/1995
Death of a Salesman;01/01/1985;8.4;m/1005521-death_of_a_salesman;8.571428571428571;15/09/1985
Deliver Us from Evil;24/06/2006;8.4;m/deliver_us_from_evil;8.333333333333334;13/10/2006
Deliverance;30/07/1972;8.4;m/deliverance;8.583333333333334;21/07/1972
Diner;01/01/1982;8.4;m/diner;8.363636363636363;02/04/1982
Dinner at Eight;23/08/1933;8.3;m/1005875-dinner_at_eight;8.285714285714286;23/08/1933
Do the Right Thing;01/01/1989;9.1;m/do_the_right_thing;9.254237288135592;14/06/1989
Dodsworth;01/01/1936;8.4;m/dodsworth;8.142857142857142;23/09/1936
Duck Soup;01/01/1933;9.1;m/duck_soup;9.23076923076923;17/11/1933
Eighth Grade;19/01/2018;8.8;m/eighth_grade;8.497512437810945;03/08/2018
Enron: The Smartest Guys in the Room;01/01/2005;8.1;m/enron_the_smartest_guys_in_the_room;8.130434782608695;29/04/2005
Ex Machina;16/12/2014;8.1;m/ex_machina;7.9330143540669855;24/04/2015
Executive Suite;01/01/1954;8.0;m/executive_suite;8.0;15/04/1954
Experiment in Terror;01/01/1962;8.4;m/experiment_in_terror;8.4;01/01/1962
Fast, Cheap & Out of Control;01/01/1997;8.0;m/fast_cheap_and_out_of_control;8.148148148148149;03/10/1997
Finding Nemo;30/05/2003;8.7;m/finding_nemo;8.717171717171718;30/05/2003
First Reformed;01/01/2017;8.3;m/first_reformed;8.139240506329115;18/05/2018
Five Easy Pieces;01/01/1970;8.5;m/five_easy_pieces;8.764705882352942;12/09/1970
Foreign Correspondent;01/01/1940;8.0;m/foreign_correspondent;8.068965517241379;16/08/1940
Frost/Nixon;15/10/2008;8.0;m/frostnixon;8.091836734693878;05/12/2008
Fruitvale Station;19/01/2013;8.1;m/fruitvale_station;8.050632911392405;26/07/2013
Full Metal Jacket;17/06/1987;8.3;m/full_metal_jacket;8.444444444444445;17/06/1987
Fury;01/01/1936;8.9;m/1035061-fury;9.0;29/05/1936
Glengarry Glen Ross;01/01/1992;8.5;m/glengarry_glen_ross;8.4;29/09/1992
Gods and Monsters;21/01/1998;8.4;m/gods_and_monsters;8.340425531914894;04/11/1998
Gold Diggers of 1933;01/01/1933;9.3;m/gold_diggers_of_1933;9.142857142857142;27/05/1933
Good Will Hunting;05/12/1997;8.1;m/good_will_hunting;8.150943396226415;05/12/1997
Grey Gardens;01/01/1975;8.5;m/grey_gardens_2009;8.363636363636363;18/04/2009
Grizzly Man;24/01/2005;8.0;m/grizzly_man;8.018691588785046;12/08/2005
Hail the Conquering Hero;01/01/1944;8.5;m/hail_the_conquering_hero;8.833333333333334;09/08/1944
Hamlet;01/01/1948;8.5;m/1075422-hamlet;8.523809523809524;25/12/1996
Hamlet;01/01/1948;8.5;m/1097245-hamlet;6.551724137931035;12/05/2000
Hamlet;01/01/1948;8.5;m/1109679-hamlet;6.583333333333333;19/12/1990
Hamlet;01/01/1948;8.5;m/hamlet;8.0;
Heart of a Dog;01/01/2015;8.0;m/heart_of_a_dog;8.0;21/10/2015
Hearts and Minds;01/01/1974;8.3;m/hearts_and_minds;8.64;23/03/1975
Hearts of Darkness: A Filmmaker's Apocalypse;01/01/1991;8.4;m/hearts_of_darkness_a_filmmakers_apocalypse;8.5;01/05/1991
Heavenly Creatures;01/01/1994;8.1;m/heavenly_creatures;8.333333333333334;16/11/1994
Hell or High Water;01/01/2016;8.5;m/hell_or_high_water;8.26530612244898;12/08/2016
Heroin(e);01/01/2017;8.3;m/heroin;8.0;
Hombre;01/01/1967;8.1;m/hombre;8.0;01/01/1967
House of Games;01/01/1987;8.2;m/house_of_games;8.153846153846153;01/10/1987
Imitation of Life;01/01/1934;8.1;m/1010417-imitation_of_life;7.466666666666667;30/04/1959
Imitation of Life;01/01/1934;8.1;m/1082542-imitation_of_life;8.25;26/11/1934
In the Family;01/01/2011;8.4;m/in_the_family_2011;8.210526315789474;04/05/2012
In the Mirror of Maya Deren;01/10/2001;8.0;m/in_the_mirror_of_maya_deren;8.0;24/01/2003
Indigo Children;01/01/2012;8.2;m/indigo_children;8.0;17/01/2014
Inside Job;01/01/2010;8.2;m/inside_job_2010;8.134615384615385;08/10/2010
Intolerance;01/01/1916;8.1;m/1010644-intolerance;8.090909090909092;05/09/1916
It's a Wonderful Life;20/12/1946;9.0;m/its_a_wonderful_life;9.084745762711863;25/12/1946
Juno;01/09/2007;8.1;m/juno;8.173410404624278;05/12/2007
Jurassic Park;11/06/1993;8.4;m/jurassic_park;8.382022471910112;11/06/1993
Key Largo;01/01/1948;8.1;m/key_largo;8.066666666666666;01/01/1948
Kinyarwanda;01/01/2011;8.3;m/rite_2011;8.333333333333334;02/12/2011
Kubo and the Two Strings;13/08/2016;8.4;m/kubo_and_the_two_strings_2016;8.176100628930818;19/08/2016
L'Argent;01/01/1983;8.2;m/largent;8.153846153846153;01/01/1983
La Belle Noiseuse;14/05/1991;8.1;m/la_belle_noiseuse;8.235294117647058;04/09/1991
La Haine;01/01/1995;8.3;m/la_haine;8.181818181818182;09/02/1996
Lady Bird;01/01/2017;8.8;m/lady_bird;8.540322580645162;03/11/2017
Last Men in Aleppo;16/03/2017;8.1;m/last_men_in_aleppo;8.11111111111111;
Lenny;01/01/1974;8.1;m/lenny;8.0;01/01/1974
Life Itself;01/01/2014;8.4;m/life_itself;8.253333333333334;04/07/2014
Little Women;16/11/1933;8.4;m/1012524-little_women;8.444444444444445;16/11/1933
Little Women;16/11/1933;8.4;m/1012525-little_women;6.0;10/03/1949
Liyana;17/06/2017;8.1;m/liyana;8.0;10/10/2018
Lone Star;01/01/1996;8.6;m/1074022-lone_star;8.54054054054054;21/06/1996
Love Affair;01/01/1939;8.1;m/love_affair_1939;8.571428571428571;16/03/1939
Love Streams;24/08/1984;8.1;m/love_streams;8.181818181818182;24/08/1984
Man on Wire;22/01/2008;8.4;m/man_on_wire;8.423728813559322;22/01/2008
Manhattan;01/01/1979;8.5;m/manhattan;8.533333333333333;14/03/1979
Marat/Sade;01/01/1966;8.0;m/maratsade;8.181818181818182;
Mary Poppins;01/10/1964;8.4;m/mary_poppins;8.35897435897436;26/08/1964
Mary and Max;15/01/2009;8.1;m/1209767-mary_and_max;8.11320754716981;15/01/2009
Mean Streets;01/01/1973;8.9;m/mean_streets;9.116279069767442;01/01/1973
Midnight Cowboy;01/01/1969;8.5;m/midnight_cowboy;8.576923076923077;25/05/1969
Minority Report;17/06/2002;8.2;m/minority_report;8.262857142857143;21/06/2002
Miracle on 34th Street;01/01/1947;8.4;m/miracle_on_34th_street;8.387096774193548;01/01/1947
Miracle on 34th Street;01/01/1947;8.4;m/miracle_on_34th_street_1994;6.3478260869565215;18/11/1994
Mona Lisa;01/05/1986;8.1;m/mona_lisa;8.272727272727273;13/06/1986
Monsters, Inc.;23/10/2001;8.0;m/monsters_inc;8.35;02/11/2001
Moonlight;02/09/2016;9.0;m/10006057-moonlight;6.75;17/10/2003
Moonlight;02/09/2016;9.0;m/moonlight_2016;8.816666666666666;21/10/2016
Moonrise;01/01/1948;8.4;m/moonrise;8.444444444444445;01/01/1948
Moonrise Kingdom;16/05/2012;8.2;m/moonrise_kingdom;8.06060606060606;25/05/2012
Mr. Deeds Goes to Town;01/01/1936;8.2;m/mr_deeds_goes_to_town;8.142857142857142;12/04/1936
Mr. Turner;01/01/2014;8.4;m/mr_turner;8.378787878787879;19/12/2014
Mudbound;01/01/2017;8.2;m/mudbound;8.0;17/11/2017
My Beautiful Laundrette;01/01/1985;8.3;m/my_beautiful_laundrette;8.16;07/09/1985
Nashville;11/06/1975;8.7;m/nashville;8.85;11/06/1975
Never Rarely Sometimes Always;01/01/2020;8.6;m/never_rarely_sometimes_always;8.330578512396695;13/03/2020
Nightcrawler;05/09/2014;8.3;m/nightcrawler;8.071428571428571;31/10/2014
Ninotchka;01/01/1939;8.4;m/ninotchka;8.588235294117647;03/11/1939
No Country for Old Men;09/11/2007;8.7;m/no_country_for_old_men;8.942307692307692;21/11/2007
North by Northwest;01/07/1959;9.3;m/north-by-northwest;9.2;17/09/1959
Now, Voyager;01/01/1942;8.3;m/now_voyager;8.076923076923077;22/10/1942
Of Mice and Men;01/01/1939;8.5;m/1083121-of_mice_and_men;8.4;30/12/1939
Offside;01/01/2006;8.0;m/offside;8.03225806451613;17/02/2006
Old Yeller;25/12/1957;8.2;m/old_yeller;7.875;25/12/1957
Once;15/07/2006;8.3;m/once;8.2;18/05/2007
Paddington 2;05/11/2017;8.7;m/paddington_2;8.538011695906432;12/01/2018
Paper Moon;09/04/1973;8.6;m/paper_moon;8.482758620689655;09/05/1973
Peeping Tom;01/01/1960;8.7;m/peeping_tom_1960;8.903225806451612;07/04/1960
People Will Talk;01/01/1951;8.2;m/people_will_talk;8.4;29/08/1951
Phoenix;25/09/2014;8.1;m/phoenix_1998;5.6;04/09/1998
Phoenix;25/09/2014;8.1;m/phoenix_2015;7.931034482758621;24/07/2015
Picnic at Hanging Rock;08/08/1975;8.4;m/picnic_at_hanging_rock;8.5;02/02/1975
Platoon;19/12/1986;8.4;m/platoon;8.291666666666666;24/12/1986
Pulp Fiction;21/05/1994;9.2;m/pulp_fiction;9.4;23/09/1994
Quiz Show;14/09/1994;8.2;m/quiz_show;8.205128205128204;14/09/1994
Rebel Without a Cause;27/10/1955;8.1;m/rebel_without_a_cause;8.378378378378379;27/10/1955
Resident Evil: Damnation;24/09/2012;8.0;m/resident_evil_damnation;8.0;
Ride the High Country;01/01/1962;8.3;m/ride_the_high_country;8.0;
Rocky;21/11/1976;8.5;m/1017776-rocky;8.565217391304348;21/11/1976
Safety Last!;01/04/1923;8.8;m/safety_last;8.583333333333334;01/04/1923
Seconds;01/01/1966;8.3;m/seconds;8.296296296296296;05/10/1966
Serpico;01/01/1973;8.1;m/serpico;8.482758620689655;05/12/1973
Shaun the Sheep Movie;06/02/2015;8.1;m/shaun_the_sheep_movie;7.917355371900826;05/08/2015
Silver Linings Playbook;01/01/2012;8.2;m/silver_linings_playbook;7.98989898989899;21/11/2012
Singin' in the Rain;27/03/1952;9.3;m/singin_in_the_rain;9.72093023255814;
Sita Sings the Blues;01/01/2008;8.3;m/sita_sings_the_blues;8.454545454545455;11/02/2008
Sleeping Beauty;29/01/1959;8.2;m/1019187-sleeping_beauty;8.363636363636363;29/01/1959
Sleeping Beauty;29/01/1959;8.2;m/sleeping_beauty_2011;5.612903225806452;02/12/2011
Spanish Lake;13/06/2014;8.1;m/spanish_lake;8.0;13/06/2014
Spartacus;08/10/1960;8.2;m/1019544-spartacus;8.095238095238095;07/10/1960
Spider-Man: Into the Spider-Verse;12/12/2018;8.8;m/spider_man_into_the_spider_verse;8.509505703422054;14/12/2018
Springsteen on Broadway;16/12/2018;9.2;m/springsteen_on_broadway;9.0;
Stagecoach;15/02/1939;9.3;m/1019774-stagecoach;9.428571428571429;02/03/1939
Steamboat Bill Jr.;01/01/1928;9.0;m/steamboat_bill_jr;8.88;20/05/1928
Summer Stock;01/01/1950;8.1;m/summer_stock;8.0;22/01/1950
Taxi to the Dark Side;28/04/2007;8.3;m/taxi_to_the_dark_side;8.375;28/04/2007
The Apartment;01/01/1960;8.8;m/1001115-apartment;8.84;15/06/1960
The Artist;11/05/2011;8.8;m/the_artist;8.672489082969433;25/11/2011
The Awful Truth;01/01/1937;8.2;m/awful_truth;8.105263157894736;21/10/1937
The Band Wagon;01/01/1953;8.4;m/band_wagon;8.571428571428571;07/08/1953
The Big Sleep;01/01/1946;8.8;m/1002352-big_sleep;8.8;31/08/1946
The Big Sleep;01/01/1946;8.8;m/1002353-big_sleep;7.333333333333333;
The C Word;01/01/2016;8.5;m/c_word_2016;8.0;25/11/2016
The Day the Earth Stood Still;18/09/1951;8.1;m/1005371-day_the_earth_stood_still;8.048780487804878;01/01/1951
The Day the Earth Stood Still;18/09/1951;8.1;m/day_the_earth_stood_still;4.910256410256411;12/12/2008
The Deer Hunter;01/01/1978;8.6;m/the_deer_hunter;8.607142857142858;08/12/1978
The Devil and Miss Jones;01/01/1941;8.0;m/devil_and_miss_jones;8.333333333333334;11/04/1941
The Fallen Idol;01/01/1948;8.7;m/fallen_idol;8.857142857142858;15/11/1949
The French Connection;07/10/1971;8.9;m/french_connection;8.883720930232558;09/10/1971
The Friends of Eddie Coyle;01/01/1973;8.4;m/1211532-friends_of_eddie_coyle;8.266666666666667;26/06/1973
The General;01/01/1926;9.2;m/1087427-general;7.454545454545454;18/12/1998
The Ghost and Mrs. Muir;01/01/1947;8.2;m/ghost_and_mrs_muir;8.307692307692308;26/06/1947
The Graduate;01/01/1967;8.9;m/graduate;9.071428571428571;21/12/1967
The House I Live In;21/01/2012;8.0;m/the_house_i_live_in;8.040816326530612;05/10/2012
The Hunchback of Notre Dame;01/01/1939;8.6;m/1010214-hunchback_of_notre_dame;8.117647058823529;02/09/1923
The Hustler;01/01/1961;8.7;m/hustler;8.933333333333334;25/09/1961
The Insider;01/01/1999;8.1;m/insider;8.481012658227849;05/11/1999
The Invisible Man;01/01/1933;8.4;m/1010695-invisible_man;8.482758620689655;13/11/1933
The Invisible Man;01/01/1933;8.4;m/the_invisible_man_2020;7.541818181818182;28/02/2020
The King of Comedy;18/12/1982;8.3;m/1011623-king_of_comedy;8.476190476190476;01/01/1983
The Lady Vanishes;07/10/1938;8.3;m/1011813-lady_vanishes;8.214285714285714;01/11/1938
The Ladykillers;08/12/1955;8.7;m/1011818-ladykillers;8.526315789473685;08/12/1955
The Ladykillers;08/12/1955;8.7;m/ladykillers;6.688741721854305;26/03/2004
The Last Picture Show;02/10/1971;9.0;m/last_picture_show;9.15;22/10/1971
The Little Mermaid;17/11/1989;8.2;m/the_little_mermaid_1989;8.326530612244898;01/01/1989
The Long Good Friday;01/01/1980;8.1;m/the_long_good_friday;8.173913043478262;02/04/1982
The Lord of the Rings: The Two Towers;05/12/2002;8.5;m/the_lord_of_the_rings_the_two_towers;8.580645161290322;12/12/2002
The Maltese Falcon;01/01/1941;9.1;m/1013139-maltese_falcon;9.35135135135135;18/10/1941
The Man Who Shot Liberty Valance;01/01/1962;8.7;m/man_who_shot_liberty_valance;8.647058823529411;28/05/1962
The Mummy;01/01/1959;8.0;m/1014372-mummy;8.0;01/01/1959
The Mummy;01/01/1959;8.0;m/the_mummy_2017;4.80365296803653;09/06/2017
The Music Man;01/01/1962;8.1;m/1014453-music_man;8.235294117647058;19/06/1962
The Nightmare Before Christmas;15/10/1993;8.2;m/nightmare_before_christmas;8.264705882352942;24/10/1993
The Pawnbroker;01/01/1964;8.2;m/the_pawnbroker;8.181818181818182;20/04/1965
The Pianist;24/05/2002;8.2;m/pianist;8.314285714285715;27/12/2002
The Piano;01/01/1993;8.4;m/piano;8.565217391304348;19/11/1993
The Prisoner of Zenda;01/01/1937;8.7;m/1016756-prisoner_of_zenda;8.25;03/09/1937
The Producers;01/01/1968;8.2;m/1016819-producers;8.4;01/06/1968
The Producers;01/01/1968;8.2;m/producers_the_movie_musical;6.4227642276422765;16/12/2005
The Quiet Man;06/06/1952;8.0;m/quiet_man;8.181818181818182;14/08/1952
The Selfish Giant;16/05/2013;8.1;m/the_selfish_giant_2013;8.037735849056604;20/12/2013
The Servant;01/09/1963;8.1;m/servant;8.0;16/03/1964
The Souvenir;01/01/2019;8.1;m/the_souvenir;8.035714285714286;17/05/2019
The Sting;01/01/1973;8.3;m/1020130-sting;8.434782608695652;01/12/1973
The Sweet Hereafter;01/01/1997;8.9;m/sweet_hereafter;8.976744186046512;20/11/1997
The Train;01/01/1964;8.5;m/1037789-train;8.6;07/03/1965
The Tree of Life;16/05/2011;8.1;m/the_tree_of_life_2011;8.109452736318408;27/05/2011
The Waiting Room;01/01/2012;8.4;m/the_waiting_room_2012;8.16;26/09/2012
The Wild Bunch;18/06/1969;8.8;m/1059489-wild_bunch;9.161290322580646;18/06/1969
The Wrestler;05/09/2008;8.4;m/the_wrestler;8.441988950276244;05/09/2008
The Wrong Man;01/01/1956;8.1;m/1024191-wrong_man;8.0;22/12/1956
There Will Be Blood;01/01/2007;8.5;m/there_will_be_blood;8.624277456647398;26/12/2007
This Sporting Life;01/01/1963;8.2;m/this_sporting_life;8.0;16/07/1963
Three Came Home;01/01/1950;8.0;m/three_came_home;8.0;20/02/1950
Three Identical Strangers;01/01/2018;8.2;m/three_identical_strangers;8.163636363636364;29/06/2018
To Have and Have Not;01/01/1944;8.1;m/to_have_and_have_not;8.0;11/10/1944
Top Hat;01/01/1935;8.7;m/top_hat;8.827586206896552;06/09/1935
Traffic;27/12/2000;8.1;m/1103281-traffic;8.521739130434783;27/12/2000
True Grit;01/01/1969;8.0;m/true_grit_2010;8.155339805825243;22/12/2010
Twist of Faith;01/01/2004;8.2;m/twist_of_faith;8.125;20/08/2004
Unforgiven;03/08/1992;8.8;m/1041911-unforgiven;8.757575757575758;03/08/1992
Wild River;01/01/1960;8.4;m/wild_river;8.4;26/03/1960
Witness;01/01/1985;8.4;m/1023854-witness;8.266666666666667;08/02/1985
Witness for the Prosecution;17/12/1957;8.5;m/witness_for_the_prosecution;8.608695652173912;01/12/1957
Young Frankenstein;15/12/1974;8.6;m/young_frankenstein;8.8;15/12/1974
Young Mr. Lincoln;01/01/1939;8.6;m/young_mr_lincoln;8.588235294117647;09/06/1939
Zero Dark Thirty;01/01/2012;8.6;m/zero_dark_thirty;8.41255605381166;11/01/2013
